Solution,Wing Area (m²),CD0,CLmax,Fuel Mass (kg),Cruise Speed (m/s),Range (km),Stall Speed (m/s),Turn Radius (km),Rate of Climb (m/s)
163,46.10805604252756,0.010000000000368067,1.9495295058531743,5154.162840739063,140.77720975492022,5333.987100469864,40.13311439309383,0.16473116292114992,306.8400650430076
164,46.11227718814667,0.010000000000253993,1.9019000752894997,5262.095536426302,167.52297576940575,4986.238712080517,40.9854205261848,0.17154148732659455,355.0756132239623
165,47.20232629482362,0.010000000005615614,1.942706692283762,5002.873258732069,166.50921761385155,4681.905406433874,39.2433389232114,0.15722945734959715,368.1388364787072
166,46.06196172517362,0.010000000000003128,1.9026964242337598,5278.912741856339,180.3009987151995,4765.0754751973145,41.05423287098807,0.1720407656152316,378.86790118304737
167,47.54644978012397,0.01000000000117953,1.9499918351244214,5017.153928570166,168.31770341080332,4632.716587917518,39.07435346343367,0.15586413081731806,370.8326348484704
168,46.00932591299057,0.010000000006565776,1.9475886395188329,5278.484374745716,137.93267266916806,5477.160110644932,40.6001409220272,0.16866394511574725,294.89846586069183
169,46.00583741061439,0.010000000000633414,1.8895034441074487,5278.3484446394705,164.90124066066585,5058.592614681315,41.22057799204647,0.17354361844319957,349.0355375620564
170,46.01564310984423,0.010000000000557294,1.9489227625696894,5109.410375894601,137.4110765512555,5343.564047980392,40.03328890202877,0.16396215328275093,302.06293910699344
171,46.003415659398996,0.010000000003439086,1.9481959763833858,5265.361505226458,166.13267856293618,5024.5468813677535,40.55397140814926,0.16794619522396056,352.1896931165324
172,46.059231176632494,0.010000000002533772,1.9489009639476131,5206.499044883839,173.32683876697456,4832.802421306527,40.33126116359713,0.16605506257316144,369.7330236346964
173,47.518382513859855,0.01000000000268929,1.949496797404259,5275.2096962797905,139.8867972141538,5338.741422053269,39.920292754876385,0.1629909244866215,298.8279529004201
174,46.207601740819854,0.010000000017962387,1.9473144935433484,5012.946681708488,177.74341464243287,4565.242782293548,39.64976318207508,0.1604540036652938,390.57269329257605
175,46.01041424958184,0.010000000000150864,1.9303311078217442,5278.382771532067,142.06106858498447,5429.425870825412,40.78041133276428,0.17010370734533242,303.3274793564383
176,47.845052072612205,0.01000000000166234,1.9498745978652636,5001.20940677611,179.64392205887253,4384.5983640368495,38.90175709427241,0.15443561517506638,394.53000811195204
